miasto,stacja,wskaznik,data,wartosc
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 02:00:00,2.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 01:00:00,3.2
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 00:00:00,4.3
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 23:00:00,4.1
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 22:00:00,3.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 21:00:00,8.3
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 20:00:00,6.7
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 19:00:00,3.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-09 18:00:00,2.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 13:00:00,6.6
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 12:00:00,6.6
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 11:00:00,7.0
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 10:00:00,10.5
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 09:00:00,9.5
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 08:00:00,6.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 07:00:00,5.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 06:00:00,4.7
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 05:00:00,4.1
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 04:00:00,4.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 03:00:00,4.5
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 02:00:00,5.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 01:00:00,5.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-10 00:00:00,5.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 23:00:00,6.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 22:00:00,6.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 21:00:00,5.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 20:00:00,6.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 19:00:00,6.5
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM10,2026-07-09 18:00:00,9.6
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 13:00:00,3.1
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 12:00:00,4.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 11:00:00,3.9
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 10:00:00,4.1
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 09:00:00,4.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 08:00:00,3.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 07:00:00,3.4
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 06:00:00,3.1
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 05:00:00,3.1
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 04:00:00,3.0
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 03:00:00,3.0
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 02:00:00,3.6
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 01:00:00,4.2
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-10 00:00:00,4.2
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 23:00:00,4.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 22:00:00,3.9
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 21:00:00,3.3
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 20:00:00,3.2
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 19:00:00,2.8
Warszawa,"Warszawa, ul. Wokalna",pył zawieszony PM2.5,2026-07-09 18:00:00,3.3
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 13:00:00,6.3
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 12:00:00,6.3
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 11:00:00,8.9
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 10:00:00,9.2
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 09:00:00,9.5
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 08:00:00,8.3
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 07:00:00,6.5
Warszawa,"Warszawa, ul. Kondratowicza",pył zawieszony PM10,2026-07-10 06:00:00,5.0
